,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
2022/10/11,26401.25,2022/10/11,29239.19,2022/10/12,385.88,2022/10/12,3025.5055,2022/10/11,33.63,2022/10/12,146.91,2022/10/12,142.54,2022/10/12,7.172,2022/10/11,0.25,2022/10/11,3.939,2022/10/12,87.1,2022/10/12,1680.1
2022/10/07,27116.11,2022/10/10,29202.88,2022/10/11,387.95,2022/10/11,2979.7926,2022/10/10,32.45,2022/10/11,145.86,2022/10/11,141.58,2022/10/11,7.1639,2022/10/07,0.25,2022/10/07,3.885,2022/10/11,88.59,2022/10/11,1673.2
2022/10/06,27311.3,2022/10/07,29296.79,2022/10/10,390.12,2022/10/10,2974.1454,2022/10/07,31.36,2022/10/10,145.68,2022/10/10,141.39,2022/10/10,7.1533,2022/10/06,0.25,2022/10/06,3.824,2022/10/10,90.82,2022/10/10,1675.7
2022/10/05,27120.53,2022/10/06,29926.94,2022/10/07,391.67,2022/09/30,3024.3905,2022/10/06,30.52,2022/10/07,145.33,2022/10/07,141.62,2022/10/07,7.1135,2022/10/05,0.245,2022/10/05,3.759,2022/10/07,93.2,2022/10/07,1701.8
2022/10/04,26992.21,2022/10/05,30273.87,2022/10/06,396.35,2022/09/29,3041.2046,2022/10/05,28.55,2022/10/06,145.12,2022/10/06,142.11,2022/10/06,7.1135,2022/10/04,0.23,2022/10/04,3.617,2022/10/06,88.96,2022/10/06,1720.9
2022/10/03,26215.79,2022/10/04,30316.32,2022/10/05,398.91,2022/09/28,3045.0668,2022/10/04,29.07,2022/10/05,144.63,2022/10/05,143.0,2022/10/05,7.1135,2022/10/03,0.241,2022/10/03,3.651,2022/10/05,88.03,2022/10/05,1725.0
2022/09/30,25937.21,2022/10/03,29490.89,2022/10/04,403.03,2022/09/27,3093.8618,2022/10/03,30.1,2022/10/04,144.09,2022/10/04,143.91,2022/10/04,7.1135,2022/09/30,0.246,2022/09/30,3.804,2022/10/04,86.37,2022/10/04,1734.7
2022/09/29,26422.05,2022/09/30,28725.51,2022/10/03,390.83,2022/09/26,3051.226,2022/09/30,31.62,2022/10/03,144.53,2022/10/03,142.0,2022/10/03,7.1135,2022/09/29,0.25,2022/09/29,3.747,2022/10/03,83.34,2022/10/03,1708.6
2022/09/28,26173.98,2022/09/29,29225.61,2022/09/30,387.85,2022/09/23,3088.3695,2022/09/29,31.84,2022/09/30,144.75,2022/09/30,141.86,2022/09/30,7.1135,2022/09/28,0.25,2022/09/28,3.707,2022/09/30,79.74,2022/09/30,1668.3
2022/09/27,26571.87,2022/09/28,29683.74,2022/09/29,382.89,2022/09/22,3108.9096,2022/09/28,30.18,2022/09/29,144.45,2022/09/29,141.74,2022/09/29,7.1196,2022/09/27,0.251,2022/09/27,3.963,2022/09/29,81.61,2022/09/29,1668.8
