,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
2022/10/05,27120.53,2022/10/06,29926.94,2022/10/06,396.35,2022/09/29,3041.2046,2022/10/06,30.52,2022/10/06,145.12,2022/10/06,142.11,2022/10/06,7.1135,2022/10/05,0.245,2022/10/05,3.759,2022/10/06,88.96,2022/10/06,1720.9
2022/10/04,26992.21,2022/10/05,30273.87,2022/10/05,398.91,2022/09/28,3045.0668,2022/10/05,28.55,2022/10/05,144.63,2022/10/05,143.0,2022/10/05,7.1135,2022/10/04,0.23,2022/10/04,3.617,2022/10/05,88.03,2022/10/05,1725.0
2022/10/03,26215.79,2022/10/04,30316.32,2022/10/04,403.03,2022/09/27,3093.8618,2022/10/04,29.07,2022/10/04,144.09,2022/10/04,143.91,2022/10/04,7.1135,2022/10/03,0.241,2022/10/03,3.651,2022/10/04,86.37,2022/10/04,1734.7
2022/09/30,25937.21,2022/10/03,29490.89,2022/10/03,390.83,2022/09/26,3051.226,2022/10/03,30.1,2022/10/03,144.53,2022/10/03,142.0,2022/10/03,7.1135,2022/09/30,0.246,2022/09/30,3.804,2022/10/03,83.34,2022/10/03,1708.6
2022/09/29,26422.05,2022/09/30,28725.51,2022/09/30,387.85,2022/09/23,3088.3695,2022/09/30,31.62,2022/09/30,144.75,2022/09/30,141.86,2022/09/30,7.1135,2022/09/29,0.25,2022/09/29,3.747,2022/09/30,79.74,2022/09/30,1668.3
2022/09/28,26173.98,2022/09/29,29225.61,2022/09/29,382.89,2022/09/22,3108.9096,2022/09/29,31.84,2022/09/29,144.45,2022/09/29,141.74,2022/09/29,7.1196,2022/09/28,0.25,2022/09/28,3.707,2022/09/29,81.61,2022/09/29,1668.8
2022/09/27,26571.87,2022/09/28,29683.74,2022/09/28,389.41,2022/09/21,3117.1774,2022/09/28,30.18,2022/09/28,144.16,2022/09/28,140.32,2022/09/28,7.199,2022/09/27,0.251,2022/09/27,3.963,2022/09/28,81.88,2022/09/28,1668.5
2022/09/26,26431.55,2022/09/27,29134.99,2022/09/27,388.24,2022/09/20,3122.4058,2022/09/27,32.6,2022/09/27,144.76,2022/09/27,138.91,2022/09/27,7.176,2022/09/26,0.251,2022/09/26,3.88,2022/09/27,77.96,2022/09/27,1636.5
2022/09/22,27153.83,2022/09/26,29260.81,2022/09/26,388.75,2022/09/19,3115.6019,2022/09/26,32.26,2022/09/26,144.75,2022/09/26,139.07,2022/09/26,7.1311,2022/09/22,0.236,2022/09/23,3.697,2022/09/26,76.34,2022/09/26,1629.3
2022/09/21,27313.13,2022/09/23,29590.41,2022/09/23,390.4,2022/09/16,3126.3977,2022/09/23,29.92,2022/09/23,143.32,2022/09/23,138.95,2022/09/23,7.1266,2022/09/21,0.255,2022/09/22,3.708,2022/09/23,79.43,2022/09/23,1651.7
2022/09/20,27688.42,2022/09/22,30076.68,2022/09/22,399.76,2022/09/15,3199.9187,2022/09/22,27.35,2022/09/22,142.35,2022/09/22,140.0,2022/09/22,7.0772,2022/09/20,0.255,2022/09/21,3.512,2022/09/22,83.5,2022/09/22,1679.4
2022/09/16,27567.65,2022/09/21,30183.78,2022/09/21,407.05,2022/09/14,3237.5419,2022/09/21,27.99,2022/09/21,144.04,2022/09/21,141.73,2022/09/21,7.0479,2022/09/16,0.255,2022/09/20,3.573,2022/09/21,83.05,2022/09/21,1682.2
2022/09/15,27875.91,2022/09/20,30706.23,2022/09/20,403.42,2022/09/13,3263.7972,2022/09/20,27.16,2022/09/20,143.72,2022/09/20,143.28,2022/09/20,7.0176,2022/09/15,0.254,2022/09/19,3.489,2022/09/20,84.19,2022/09/20,1673.2
2022/09/14,27818.62,2022/09/19,31019.68,2022/09/19,407.87,2022/09/09,3262.0542,2022/09/19,25.76,2022/09/19,143.2,2022/09/19,143.52,2022/09/19,7.005,2022/09/14,0.25,2022/09/16,3.447,2022/09/19,85.33,2022/09/19,1685.0
2022/09/13,28614.63,2022/09/16,30822.42,2022/09/16,408.24,2022/09/08,3235.5862,2022/09/16,26.3,2022/09/16,142.91,2022/09/16,143.13,2022/09/16,6.9799,2022/09/13,0.246,2022/09/15,3.459,2022/09/16,85.4,2022/09/16,1684.5
2022/09/12,28542.11,2022/09/15,30961.82,2022/09/15,414.78,2022/09/07,3246.2943,2022/09/15,26.27,2022/09/15,143.52,2022/09/15,143.48,2022/09/15,6.9934,2022/09/12,0.245,2022/09/14,3.412,2022/09/15,85.11,2022/09/15,1673.9
2022/09/09,28214.75,2022/09/14,31135.09,2022/09/14,417.51,2022/09/06,3243.4466,2022/09/14,26.16,2022/09/14,143.15,2022/09/14,142.87,2022/09/14,6.9612,2022/09/09,0.25,2022/09/13,3.423,2022/09/14,88.98,2022/09/14,1707.0
